,Nombre,Informacion,Servicios,Participacion,Codigo
2,Ate,4,2,2,ATE
3,Barranco,2,2,2,BAR
4,Brena,2,2,2,BRE
6,Chaclacayo,2,2,2,CHA
7,Chorrillos,3,1,0,CHO
9,Cieneguilla,3,1,2,CIN
10,Comas,3,1,2,COM
11,El Agustino,2,4,1,AGUS
12,Independencia,3,4,2,IND
13,Jesus Maria,2,4,2,JM
14,La Molina,3,4,2,MOL
15,La Victoria,4,2,2,VIC
16,Lince,4,2,2,LIN
17,Los Olivos,4,4,2,OLI
18,Lurin,2,1,1,LUR
19,Magdalena del Mar,4,1,1,MAG
20,Miraflores,4,4,2,MIR
21,Pachacamac,2,1,1,PACH
22,Pucusana,4,1,2,PUC
23,Pueblo Libre,3,2,2,PL
24,Puente Piedra,2,2,2,PTE
25,Punta Hermosa,3,1,1,PTH
26,Punta Negra,4,1,1,PTA
27,Rimac,3,4,2,RIM
28,San Bartolo,3,2,2,SBAR
29,San Borja,4,4,2,SBOR
30,San Isidro,4,4,2,SANI
31,San Juan de Lurigancho,3,1,2,SLUR
32,San Juan de Miraflores,2,4,1,SJM
33,San Luis,2,2,2,SLUIS
34,San Martin de Porres,3,4,2,SMP
35,San Miguel,3,4,1,SMIG
36,Santa Anita,2,2,2,SAN
37,Santa Maria del Mar,3,1,1,SMM
38,Santa Rosa,2,2,1,SR
39,Santiago de Surco,2,4,2,SSUR
40,Surquillo,3,2,2,SURQ
41,Villa El Salvador,2,4,2,VSALV
42,Villa Maria del Triunfo,4,4,1,VMT